FULL NAME,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Royce O'Neale,71,31.6,65.7,9.6,16.7,46,0.848,116,0.586,278,0.385,0.58,0.599,7,6.8,11.5,2.5,10.4,0.8,0.45,1.17,6.2,120,102.1
Rudy Gay,63,21.5,44.9,23.6,8.8,102,0.804,350,0.451,278,0.381,0.505,0.532,11.4,4.8,11.9,1.4,9.7,0.73,0.63,1.03,7.9,103,105.5
Rudy Gobert,71,30.8,64.2,17,13.7,374,0.623,575,0.68,4,0,0.675,0.683,14.3,13.5,23.3,1.3,6,0.56,2.68,1.66,8.2,129.9,99.1
Rui Hachimura,57,31.5,65.7,18.1,8.6,161,0.77,511,0.519,137,0.328,0.513,0.549,13.8,5.5,9.2,1.4,6.3,0.79,0.12,1.19,6,106.8,109.6
Russell Westbrook,65,36.4,75.9,30.3,18,413,0.656,965,0.475,273,0.315,0.474,0.509,22.2,11.5,16.8,11.7,48.6,1.35,0.35,4.8,15.8,104.1,104.3
Ryan Arcidiacono,44,10.2,21.3,13.1,7.4,20,0.65,50,0.48,67,0.373,0.526,0.541,3.1,1.5,8.2,1.3,16.3,0.2,0,0.23,7.1,117.6,105.3
Saddiq Bey,70,27.3,56.8,18.7,7.3,147,0.844,232,0.448,460,0.38,0.53,0.566,12.2,4.6,9.3,1.4,7.6,0.74,0.2,0.86,6.3,111.5,110
Sekou Doumbouya,56,15.5,32.3,17.8,12.4,64,0.703,167,0.485,115,0.226,0.426,0.459,5.1,2.6,9.2,0.8,8,0.43,0.16,0.79,5.7,92.5,105.1
Semi Ojeleye,56,17,35.3,11.6,8.2,32,0.75,63,0.492,158,0.367,0.534,0.553,4.6,2.6,8.6,0.7,5.1,0.3,0,0.38,4.8,113.9,111.8
Serge Ibaka,41,23.3,48.5,20.1,10.2,53,0.811,250,0.588,115,0.339,0.563,0.585,11.1,6.7,16.2,1.8,11.5,0.22,1.15,1.07,8.8,118.4,105.3
Seth Curry,57,28.7,59.9,17.1,10,77,0.896,272,0.485,280,0.45,0.582,0.607,12.5,2.4,4.6,2.7,13.6,0.77,0.14,1.14,6,117.7,107.7
Shai Gilgeous-Alexander,35,33.7,70.2,27.8,13.7,229,0.808,395,0.547,170,0.418,0.571,0.623,23.7,4.7,7.3,5.9,31.2,0.77,0.66,3.03,10.3,117.7,111.9
Shake Milton,63,23.2,48.3,25,12.2,176,0.83,464,0.494,203,0.35,0.503,0.549,13,2.3,5.6,3.1,20.3,0.62,0.29,1.63,7.8,108.4,104.4
Shaquille Harrison,17,16.3,33.9,11.2,8.4,16,0.813,44,0.386,14,0.214,0.371,0.431,3.3,2.3,8,0.9,7.1,0.88,0.29,0.35,4.7,96.7,102.9
Sindarius Thornwell,14,5.2,10.9,14.8,15.5,2,0,12,0.333,9,0.333,0.405,0.388,1.2,0.4,3.7,0.3,7,0.36,0.07,0.29,4,76.1,111.8
Skylar Mays,33,8.2,17,19.1,7.6,25,0.88,58,0.517,40,0.35,0.52,0.569,3.8,1.1,7.1,0.9,16.4,0.42,0.06,0.27,7.6,120.8,110
Solomon Hill,71,21.3,44.4,10.3,11.7,46,0.761,85,0.447,212,0.321,0.471,0.496,4.4,3,7.7,1.1,6.4,0.7,0.15,0.59,4.6,103.5,108.3
Stanley Johnson,61,16.5,34.3,13.4,17.4,55,0.8,96,0.458,137,0.328,0.479,0.519,4.4,2.5,8.4,1.5,12,0.85,0.31,0.89,6.2,101.5,103.8
Stephen Curry,63,34.2,71.1,34.8,12.2,395,0.916,564,0.569,801,0.421,0.605,0.655,32,5.5,8.6,5.8,30.5,1.21,0.13,3.38,11.8,118.8,108.6
Sterling Brown,51,24.1,50.2,13.5,10.5,31,0.806,119,0.496,215,0.423,0.585,0.598,8.2,4.4,9.7,1.4,8.4,0.75,0.24,0.8,6.1,114.1,110.1
Steven Adams,58,27.7,57.6,11.7,17.7,135,0.444,305,0.62,3,0,0.614,0.596,7.6,8.9,17.4,1.9,9.1,0.93,0.66,1.36,7.3,119.7,107.8
Svi Mykhailiuk,30,23,47.9,21,14.4,20,0.7,140,0.543,143,0.336,0.523,0.531,10.3,3,6.7,1.8,12.3,0.8,0.2,1.63,6.6,96.6,113.3
T.J. McConnell,69,26,54.2,15.3,20.9,48,0.688,442,0.586,48,0.313,0.574,0.583,8.6,3.7,7.7,6.6,34.3,1.86,0.33,1.96,9.1,116.9,109.2
T.J. Warren,4,29.4,61.1,21.5,6.7,10,0.8,44,0.614,7,0,0.529,0.56,15.5,3.5,6.5,1.3,6.4,0.5,0,1,5.6,107,104.7
Tacko Fall,18,7.5,15.7,13.2,14.4,15,0.333,29,0.724,0,0,0.724,0.66,2.6,2.9,21.4,0.2,3.1,0.06,1.11,0.33,6.1,123.1,96.3
Taj Gibson,45,20.8,43.3,9.7,10.8,55,0.727,143,0.671,15,0.2,0.636,0.661,5.4,5.6,14.5,0.8,5.4,0.69,1.09,0.49,5.6,137.9,99.5
